text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,cong,right,blue,0,0,0,10,,,,,down,0,0.867094039917,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,down,green,0,1,1,9,,,,,down,1,1.25170493126,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,left,red,0,2,2,8,,,,,down,0,0.652874946594,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,left,red,0,3,3,4,,,,,left,1,1.06845402718,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,right,blue,0,4,4,7,,,,,right,1,1.00127315521,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,right,blue,0,5,5,3,,,,,right,1,0.602290868759,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,0,6,6,6,,,,,down,1,0.552942037582,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,0,7,7,11,,,,,down,0,0.686279058456,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,0,8,8,5,,,,,down,1,1.11957001686,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,0,9,9,0,,,,,left,1,0.785408973694,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,down,green,0,10,10,2,,,,,down,1,0.703142166138,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,0,11,11,1,,,,,left,1,0.651788949966,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,,,,,0,0,0,5,down,1,0.669672966003,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,,,,,0,1,1,10,right,1,0.48529791832,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,0,2,2,0,left,1,0.334624052048,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,left,red,,,,,0,3,3,8,left,1,0.719988107681,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,down,green,,,,,0,4,4,2,down,1,0.503916025162,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,right,blue,,,,,0,5,5,3,right,1,0.419918060303,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,left,red,,,,,0,6,6,4,left,1,0.769405841827,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,right,blue,,,,,0,7,7,7,right,1,0.636070966721,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,,,,,0,8,8,6,down,1,0.302263021469,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,down,green,,,,,0,9,9,9,down,1,0.502151012421,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,0,10,10,1,left,1,0.468139886856,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,,,,,0,11,11,11,right,1,0.435109853745,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,,,,,1,0,12,5,down,1,0.486251831055,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,left,red,,,,,1,1,13,4,left,1,0.335783958435,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,1,2,14,1,left,1,0.452198982239,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,left,red,,,,,1,3,15,8,right,0,0.753060102463,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,,,,,1,4,16,11,down,0,0.351871967316,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,right,blue,,,,,1,5,17,7,right,1,0.568248033524,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,right,blue,,,,,1,6,18,3,right,1,0.66824889183,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,1,7,19,0,left,1,0.570704936981,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,,,,,1,8,20,10,right,1,0.535601139069,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,down,green,,,,,1,9,21,9,down,1,0.45232796669,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,,,,,1,10,22,6,down,1,0.469149827957,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,incong,down,green,,,,,1,11,23,2,down,1,0.418311834335,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,down,green,,,,,2,0,24,9,down,1,0.452075004578,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,2,1,25,0,left,1,0.434619903564,2017_Jun_15_1355,60.0795559534,stroop,01,,
red,cong,left,red,,,,,2,2,26,1,left,1,0.416347026825,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,incong,left,red,,,,,2,3,27,8,left,1,0.335946798325,2017_Jun_15_1355,60.0795559534,stroop,01,,
blue,cong,right,blue,,,,,2,4,28,10,right,1,0.402194023132,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,cong,down,green,,,,,2,5,29,5,down,1,0.469449996948,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,left,red,,,,,2,6,30,4,left,1,0.335176944733,2017_Jun_15_1355,60.0795559534,stroop,01,,
green,incong,right,blue,,,,,2,7,31,7,down,0,0.518719911575,2017_Jun_15_1355,60.0795559534,stroop,01,,
