Trial number	left	typeL	right	TypeR	corAns
1	tour	word	ship	word	
2	#$%@	non word	#$%@	non word	
3	#$%@	non word	hart	word	
4	#$%@	non word	#$%@	non word	
5	#$%@	non word	#$%@	non word	
6	#$%@	non word	#$%@	non word	
7	east	word	foil	word	
8	#$%@	non word	fold	word	
9	rock	word	gear	word	
10	cord	word	#$%@	non word	
11	#$%@	non word	visa	word	
12	#$%@	non word	#$%@	non word	
13	#$%@	non word	#$%@	non word	
14	self	word	#$%@	non word	
15	#$%@	non word	male	word	
16	#$%@	non word	#$%@	non word	
17	mwah	word	#$%@	non word	
18	#$%@	non word	tang	word	
19	#$%@	non word	#$%@	non word	
20	coal	word	#$%@	non word	
21	sigh	word	#$%@	non word	
22	sale	word	#$%@	non word	
23	coke	word	#$%@	non word	
24	fell	word	#$%@	non word	
25	#$%@	non word	#$%@	non word	
26	bent	word	#$%@	non word	
27	keen	word	loaf	word	
28	slow	word	lead	word	
29	palm	word	#$%@	non word	
30	wear	word	#$%@	non word	
31	#$%@	non word	#$%@	non word	
32	#$%@	non word	chef	word	
33	#$%@	non word	dive	word	
34	beep	word	#$%@	non word	
35	#$%@	non word	#$%@	non word	
36	heel	word	#$%@	non word	
37	wage	word	milk	word	
38	#$%@	non word	#$%@	non word	
39	#$%@	non word	seem	word	
40	#$%@	non word	step	word	
41	lose	word	#$%@	non word	
42	#$%@	non word	#$%@	non word	
43	clap	word	#$%@	non word	
44	dive	word	#$%@	non word	
45	#$%@	non word	#$%@	non word	
46	#$%@	non word	jive	word	
47	#$%@	non word	pile	word	
48	whee	word	#$%@	non word	
49	tune	word	dock	word	
50	#$%@	non word	#$%@	non word	
51	#$%@	non word	#$%@	non word	
52	#$%@	non word	#$%@	non word	
53	plug	word	ivan	word	
54	land	word	#$%@	non word	
55	wash	word	jose	word	
56	#$%@	non word	load	word	
57	type	word	#$%@	non word	
58	#$%@	non word	fake	word	
59	poor	word	#$%@	non word	
60	bowl	word	#$%@	non word	
61	#$%@	non word	fifa	word	
62	flip	word	vale	word	
63	bath	word	whee	word	
64	boat	word	blue	word	
65	path	word	club	word	
66	fast	word	#$%@	non word	
67	#$%@	non word	peat	word	
68	#$%@	non word	mood	word	
69	#$%@	non word	grey	word	
70	webb	word	#$%@	non word	
71	#$%@	non word	dead	word	
72	hair	word	earn	word	
73	#$%@	non word	#$%@	non word	
74	#$%@	non word	cent	word	
75	tone	word	#$%@	non word	
76	cook	word	#$%@	non word	
77	glow	word	#$%@	non word	
78	calm	word	#$%@	non word	
79	#$%@	non word	rare	word	
80	#$%@	non word	hood	word	
81	#$%@	non word	#$%@	non word	
82	#$%@	non word	eugh	word	
83	debt	word	mine	word	
84	#$%@	non word	#$%@	non word	
85	lens	word	#$%@	non word	
86	hunt	word	#$%@	non word	
87	#$%@	non word	cool	word	
88	#$%@	non word	#$%@	non word	
89	#$%@	non word	#$%@	non word	
90	#$%@	non word	#$%@	non word	
91	#$%@	non word	#$%@	non word	
92	#$%@	non word	#$%@	non word	
93	#$%@	non word	doin	word	
94	woof	word	soul	word	
95	#$%@	non word	hunt	word	
96	#$%@	non word	#$%@	non word	
97	#$%@	non word	crow	word	
98	mill	word	#$%@	non word	
99	#$%@	non word	tape	word	
100	#$%@	non word	rain	word	
101	dish	word	#$%@	non word	
102	crab	word	#$%@	non word	
103	soul	word	flap	word	
104	main	word	#$%@	non word	
105	#$%@	non word	gift	word	
106	wool	word	#$%@	non word	
107	#$%@	non word	pier	word	
108	pray	word	#$%@	non word	
109	feed	word	#$%@	non word	
110	#$%@	non word	#$%@	non word	
111	hide	word	#$%@	non word	
112	#$%@	non word	#$%@	non word	
113	belt	word	calm	word	
114	#$%@	non word	#$%@	non word	
115	#$%@	non word	#$%@	non word	
116	cake	word	#$%@	non word	
117	#$%@	non word	pain	word	
118	damp	word	#$%@	non word	
119	#$%@	non word	#$%@	non word	
120	post	word	#$%@	non word	
121	lack	word	#$%@	non word	
122	snow	word	goal	word	
123	#$%@	non word	#$%@	non word	
124	nose	word	#$%@	non word	
125	#$%@	non word	drag	word	
126	#$%@	non word	keen	word	
127	pool	word	beer	word	
128	#$%@	non word	hill	word	
129	ewan	word	chip	word	
130	camp	word	#$%@	non word	
131	#$%@	non word	#$%@	non word	
132	#$%@	non word	#$%@	non word	
133	#$%@	non word	feet	word	
134	tree	word	#$%@	non word	
135	#$%@	non word	pick	word	
136	bare	word	#$%@	non word	
137	hang	word	zone	word	
138	ride	word	#$%@	non word	
139	#$%@	non word	safe	word	
140	mint	word	#$%@	non word	
141	#$%@	non word	#$%@	non word	
142	king	word	drop	word	
143	#$%@	non word	deep	word	
144	flag	word	#$%@	non word	
145	haul	word	#$%@	non word	
146	tide	word	#$%@	non word	
147	bird	word	#$%@	non word	
148	#$%@	non word	mass	word	
149	#$%@	non word	#$%@	non word	
150	#$%@	non word	gilt	word	
151	ease	word	#$%@	non word	
152	#$%@	non word	ramp	word	
153	#$%@	non word	#$%@	non word	
154	#$%@	non word	trap	word	
155	#$%@	non word	hurt	word	
156	duck	word	#$%@	non word	
157	gang	word	held	word	
158	#$%@	non word	sake	word	
159	#$%@	non word	ware	word	
160	#$%@	non word	slow	word	
161	eden	word	haul	word	
162	deep	word	#$%@	non word	
163	#$%@	non word	mish	word	
164	#$%@	non word	bomb	word	
165	goal	word	bang	word	
166	barn	word	#$%@	non word	
167	#$%@	non word	#$%@	non word	
168	#$%@	non word	hell	word	
169	page	word	#$%@	non word	
170	dock	word	#$%@	non word	
171	pose	word	#$%@	non word	
172	foil	word	feed	word	
173	peep	word	mwah	word	
174	#$%@	non word	#$%@	non word	
175	cage	word	#$%@	non word	
176	#$%@	non word	fade	word	
177	#$%@	non word	dish	word	
178	#$%@	non word	#$%@	non word	
179	grid	word	hire	word	
180	#$%@	non word	#$%@	non word	
181	#$%@	non word	vote	word	
182	firm	word	#$%@	non word	
183	#$%@	non word	#$%@	non word	
184	warm	word	#$%@	non word	
185	#$%@	non word	#$%@	non word	
186	whip	word	chop	word	
187	#$%@	non word	#$%@	non word	
188	mist	word	#$%@	non word	
189	#$%@	non word	desk	word	
190	gate	word	palm	word	
191	#$%@	non word	#$%@	non word	
192	foot	word	coin	word	
193	#$%@	non word	#$%@	non word	
194	#$%@	non word	#$%@	non word	
195	#$%@	non word	#$%@	non word	
196	tail	word	goin	word	
197	moon	word	#$%@	non word	
198	#$%@	non word	tour	word	
199	#$%@	non word	#$%@	non word	
200	hurt	word	hate	word	
201	lime	word	#$%@	non word	
202	thin	word	jail	word	
203	#$%@	non word	lush	word	
204	#$%@	non word	#$%@	non word	
205	#$%@	non word	wall	word	
206	#$%@	non word	coke	word	
207	cope	word	#$%@	non word	
208	#$%@	non word	#$%@	non word	
209	#$%@	non word	hide	word	
210	bruv	word	#$%@	non word	
211	sign	word	damp	word	
212	fear	word	#$%@	non word	
213	#$%@	non word	shut	word	
214	#$%@	non word	#$%@	non word	
215	#$%@	non word	#$%@	non word	
216	coin	word	cage	word	
217	gold	word	peel	word	
218	lock	word	#$%@	non word	
219	mild	word	#$%@	non word	
220	prey	word	#$%@	non word	
221	meal	word	wrap	word	
222	#$%@	non word	#$%@	non word	
223	pong	word	stab	word	
224	thai	word	rita	word	
225	#$%@	non word	#$%@	non word	
226	arch	word	coat	word	
227	#$%@	non word	#$%@	non word	
228	#$%@	non word	gill	word	
229	sung	word	#$%@	non word	
230	#$%@	non word	#$%@	non word	
231	#$%@	non word	thin	word	
232	#$%@	non word	#$%@	non word	
233	hire	word	#$%@	non word	
234	#$%@	non word	#$%@	non word	
235	gain	word	#$%@	non word	
236	star	word	#$%@	non word	
237	#$%@	non word	#$%@	non word	
238	trap	word	root	word	
239	#$%@	non word	#$%@	non word	
240	root	word	crew	word	
241	#$%@	non word	draw	word	
242	mine	word	#$%@	non word	
243	harm	word	rice	word	
244	#$%@	non word	#$%@	non word	
245	#$%@	non word	#$%@	non word	
246	soil	word	#$%@	non word	
247	date	word	menu	word	
248	#$%@	non word	#$%@	non word	
249	fold	word	#$%@	non word	
250	#$%@	non word	#$%@	non word	
251	#$%@	non word	#$%@	non word	
252	duty	word	tone	word	
253	kept	word	#$%@	non word	
254	rita	word	kick	word	
255	#$%@	non word	song	word	
256	#$%@	non word	#$%@	non word	
257	#$%@	non word	#$%@	non word	
258	push	word	#$%@	non word	
259	#$%@	non word	#$%@	non word	
260	ship	word	beak	word	
261	#$%@	non word	#$%@	non word	
262	peak	word	#$%@	non word	
263	tick	word	webb	word	
264	#$%@	non word	gail	word	
265	#$%@	non word	site	word	
266	#$%@	non word	#$%@	non word	
267	#$%@	non word	#$%@	non word	
268	#$%@	non word	#$%@	non word	
269	#$%@	non word	bare	word	
270	#$%@	non word	#$%@	non word	
271	#$%@	non word	grim	word	
272	#$%@	non word	#$%@	non word	
273	soap	word	tear	word	
274	#$%@	non word	#$%@	non word	
275	knee	word	mate	word	
276	bite	word	#$%@	non word	
277	#$%@	non word	dark	word	
278	#$%@	non word	#$%@	non word	
279	#$%@	non word	#$%@	non word	
280	goat	word	#$%@	non word	
281	#$%@	non word	rate	word	
282	#$%@	non word	hoot	word	
283	#$%@	non word	doll	word	
284	vote	word	wine	word	
285	dark	word	soap	word	
286	wish	word	file	word	
287	#$%@	non word	bone	word	
288	wide	word	wear	word	
289	boot	word	gold	word	
290	urge	word	risk	word	
291	wild	word	note	word	
292	#$%@	non word	lane	word	
293	trip	word	tall	word	
294	beam	word	#$%@	non word	
295	wall	word	lump	word	
296	#$%@	non word	#$%@	non word	
297	toss	word	lime	word	
298	#$%@	non word	drew	word	
299	#$%@	non word	#$%@	non word	
300	beer	word	mint	word	
301	drum	word	#$%@	non word	
302	#$%@	non word	#$%@	non word	
303	#$%@	non word	aaah	word	
304	host	word	tick	word	
305	rush	word	#$%@	non word	
306	#$%@	non word	soak	word	
307	grim	word	rent	word	
308	sink	word	urge	word	
