typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,1,0,2.86992192268,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,1,1,6.21884202957,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,1,0,3.65187501907,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,1,1,2.33534502983,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,1,0,1.70208406448,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,1,0,3.31809091568,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,1,1,3.98875904083,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,1,1,2.31940293312,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,1,0,2.21709799767,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,2,0,2.45264410973,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,2,,hell,4.89,3024,15495,NA,NA,NA,0.846576116443,one word_L,,,,,0,6,6,6,2,1,1.80172801018,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,gang,,2,,****,NA,NA,NA,4659,4910,4.39,0.0655512596332,one word_R,,,,,0,7,7,7,1,0,4.16836714745,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.292727649762,zero words,,,,,0,8,8,8,2,0,2.96798110008,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.356400445984,zero words,,,,,0,9,9,9,2,0,2.26976084709,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,2,,debt,4.79,3253,12466,NA,NA,NA,0.608688519414,one word_L,,,,,0,10,10,10,2,1,2.70232701302,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.586600283621,zero words,,,,,0,11,11,11,2,0,2.11994385719,	,	,2017_Aug_15_1209,59.9566582232,LDT2,01,,
