12.6328 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x115c80ad0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.6328 	EXP 	window1: recordFrameIntervals = False
12.7995 	EXP 	window1: recordFrameIntervals = True
12.9830 	EXP 	window1: recordFrameIntervals = False
13.0938 	EXP 	Created instr1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='instr1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
13.1018 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([-0.625, -0.47 ]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...))
13.1098 	EXP 	Created itemL = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='White', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemL', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.1138 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.1210 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
13.1218 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
13.1282 	EXP 	Created feedback_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.1489 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
13.1518 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([-0.625, -0.47 ]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...))
13.1556 	EXP 	Created itemL = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='White', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemL', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.1603 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
13.1631 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
13.1639 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
13.1906 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
13.2008 	EXP 	instr1: autoDraw = True
14.1613 	DATA 	Keypress: space
14.1672 	EXP 	Imported conditions1.xlsx as conditions, 4 conditions, 6 params
14.1675 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
14.1678 	EXP 	New trial (rep=0, index=0): {u'typeL': u'word', u'right': u'ship', u'TrialN': 1L, u'corrAns': 3L, u'TypeR': u'word', u'left': u'tour'}
14.1831 	EXP 	instr1: autoDraw = False
14.1831 	EXP 	itemL: text = u'tour'
14.1831 	EXP 	itemR: text = u'ship'
14.1831 	EXP 	blank: autoDraw = True
14.6831 	EXP 	blank: autoDraw = False
14.6995 	EXP 	fixation: autoDraw = True
15.1985 	EXP 	itemR: autoDraw = True
15.1985 	EXP 	itemL: autoDraw = True
15.4321 	EXP 	fixation: autoDraw = False
15.4321 	EXP 	itemR: autoDraw = False
15.4321 	EXP 	itemL: autoDraw = False
18.2514 	DATA 	Keypress: 1
18.3004 	EXP 	fixation: autoDraw = False
18.3004 	EXP 	blank: autoDraw = False
18.3004 	EXP 	itemL: autoDraw = False
18.3004 	EXP 	itemR: autoDraw = False
18.3004 	EXP 	feedback_2: text = 'Oops! That was wrong'
18.3004 	EXP 	feedback_2: autoDraw = True
19.2674 	EXP 	New trial (rep=0, index=1): {u'typeL': u'non word', u'right': u'****', u'TrialN': 2L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
19.2822 	EXP 	feedback_2: autoDraw = False
19.2822 	EXP 	feedback_2: autoDraw = False
19.2822 	EXP 	itemL: text = u'****'
19.2822 	EXP 	itemR: text = u'****'
19.2822 	EXP 	blank: autoDraw = True
19.7828 	EXP 	blank: autoDraw = False
19.7994 	EXP 	fixation: autoDraw = True
20.2997 	EXP 	itemR: autoDraw = True
20.2997 	EXP 	itemL: autoDraw = True
20.5329 	EXP 	fixation: autoDraw = False
20.5329 	EXP 	itemR: autoDraw = False
20.5329 	EXP 	itemL: autoDraw = False
22.9354 	DATA 	Keypress: 1
22.9847 	EXP 	fixation: autoDraw = False
22.9847 	EXP 	blank: autoDraw = False
22.9847 	EXP 	itemL: autoDraw = False
22.9847 	EXP 	itemR: autoDraw = False
22.9847 	EXP 	feedback_2: text = 'Correct! RT=2.636'
22.9847 	EXP 	feedback_2: autoDraw = True
23.9508 	EXP 	New trial (rep=0, index=2): {u'typeL': u'non word', u'right': u'hart', u'TrialN': 3L, u'corrAns': 2L, u'TypeR': u'word', u'left': u'****'}
23.9658 	EXP 	feedback_2: autoDraw = False
23.9658 	EXP 	feedback_2: autoDraw = False
23.9658 	EXP 	itemL: text = u'****'
23.9658 	EXP 	itemR: text = u'hart'
23.9658 	EXP 	blank: autoDraw = True
24.4658 	EXP 	blank: autoDraw = False
24.4831 	EXP 	fixation: autoDraw = True
24.9825 	EXP 	itemR: autoDraw = True
24.9825 	EXP 	itemL: autoDraw = True
25.2157 	EXP 	fixation: autoDraw = False
25.2157 	EXP 	itemR: autoDraw = False
25.2157 	EXP 	itemL: autoDraw = False
27.3523 	DATA 	Keypress: 2
27.4005 	EXP 	fixation: autoDraw = False
27.4005 	EXP 	blank: autoDraw = False
27.4005 	EXP 	itemL: autoDraw = False
27.4005 	EXP 	itemR: autoDraw = False
27.4005 	EXP 	feedback_2: text = 'Correct! RT=2.370'
27.4005 	EXP 	feedback_2: autoDraw = True
28.3825 	EXP 	New trial (rep=0, index=3): {u'typeL': u'non word', u'right': u'****', u'TrialN': 4L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
28.3991 	EXP 	feedback_2: autoDraw = False
28.3991 	EXP 	itemL: text = u'****'
28.3991 	EXP 	itemR: text = u'****'
28.3991 	EXP 	blank: autoDraw = True
28.8992 	EXP 	blank: autoDraw = False
28.9158 	EXP 	fixation: autoDraw = True
29.3985 	EXP 	itemR: autoDraw = True
29.3985 	EXP 	itemL: autoDraw = True
29.6492 	EXP 	fixation: autoDraw = False
29.6492 	EXP 	itemR: autoDraw = False
29.6492 	EXP 	itemL: autoDraw = False
32.0855 	DATA 	Keypress: 3
32.1337 	EXP 	fixation: autoDraw = False
32.1337 	EXP 	blank: autoDraw = False
32.1337 	EXP 	itemL: autoDraw = False
32.1337 	EXP 	itemR: autoDraw = False
32.1337 	EXP 	feedback_2: text = 'Oops! That was wrong'
32.1337 	EXP 	feedback_2: autoDraw = True
33.1162 	EXP 	feedback_2: autoDraw = False
33.1162 	EXP 	feedback_2: autoDraw = False
33.1162 	EXP 	instrText: autoDraw = True
33.5854 	DATA 	Keypress: space
33.6856 	EXP 	Imported conditions4.xlsx as conditions, 407 conditions, 11 params
33.6871 	EXP 	Created sequence: sequential, trialTypes=407, nReps=1, seed=None
33.6875 	EXP 	New trial (rep=0, index=0): {u'right': u'buck', u'Zipf_L': 4.26, u'Trial_number_L': 5307L, u'FreqCount_L': 3648L, u'Trial_Number_R': 7295L, u'FreqCount_R': 1837L, u'corrAns': 3L, u'Zipf_R': 3.96, u'order': 0.9338627969471647, u'condition': u'two words', u'left': u'pipe'}
33.7010 	EXP 	instrText: autoDraw = False
33.7010 	EXP 	itemL: text = u'pipe'
33.7010 	EXP 	itemR: text = u'buck'
33.7010 	EXP 	blank: autoDraw = True
34.1983 	EXP 	blank: autoDraw = False
34.2162 	EXP 	fixation: autoDraw = True
34.7155 	EXP 	itemR: autoDraw = True
34.7155 	EXP 	itemL: autoDraw = True
34.9491 	EXP 	fixation: autoDraw = False
34.9491 	EXP 	itemR: autoDraw = False
34.9491 	EXP 	itemL: autoDraw = False
38.7187 	DATA 	Keypress: 1
38.7676 	EXP 	fixation: autoDraw = False
38.7676 	EXP 	blank: autoDraw = False
38.7676 	EXP 	itemL: autoDraw = False
38.7676 	EXP 	itemR: autoDraw = False
38.7676 	EXP 	feedback_2: text = 'Oops! That was wrong'
38.7676 	EXP 	feedback_2: autoDraw = True
39.7334 	EXP 	New trial (rep=0, index=1): {u'right': u'damp', u'Zipf_L': u'NA', u'Trial_number_L': u'NA', u'FreqCount_L': u'NA', u'Trial_Number_R': 4890L, u'FreqCount_R': 4381L, u'corrAns': 2L, u'Zipf_R': 4.34, u'order': 0.7505956024951798, u'condition': u'one word_R', u'left': u'****'}
