typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,None,0,2,296,2017_Oct_20_1709,59.8533029665,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,None,0,1,332,2017_Oct_20_1709,59.8533029665,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,None,0,3,469,2017_Oct_20_1709,59.8533029665,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,None,0,2,573,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,None,0,1,787,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,None,0,2,461,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,None,0,1,577,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,None,0,2,463,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,None,0,1,456,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,None,0,2,1018,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,2,,hell,4.89,3024,15495,NA,NA,NA,0.846576116443,one word_L,,,,,0,6,6,6,None,0,1,504,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,gang,,2,,****,NA,NA,NA,4659,4910,4.39,0.0655512596332,one word_R,,,,,0,7,7,7,None,0,2,437,2017_Oct_20_1709,59.8533029665,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.292727649762,zero words,,,,,0,8,8,8,None,0,2,499,2017_Oct_20_1709,59.8533029665,LDT2,01,,
