typeL,right,TrialN,corrAns,rand,TypeR,left,trial_number,item_number,Type_12,Trial_Number_R,Type_L,Type_R2,Type_R,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
S,≠,1,1,0.150263075254,S,≠,,,,,,,,0,0,0,0,,,,,None,0,1,953,2017_Oct_24_1150,60.1138267546,LDT2,01,,
L,C,2,3,0.71447579568,L,T,,,,,,,,0,1,1,1,,,,,None,0,3,830,2017_Oct_24_1150,60.1138267546,LDT2,01,,
L,∆,3,2,0.30910327398,S,N,,,,,,,,0,2,2,2,,,,,None,0,3,558,2017_Oct_24_1150,60.1138267546,LDT2,01,,
S,<,4,1,0.878485959201,L,€,,,,,,,,0,3,3,3,,,,,None,0,1,701,2017_Oct_24_1150,60.1138267546,LDT2,01,,
L,A,5,3,0.959810163991,L,X,,,,,,,,0,4,4,4,,,,,None,0,3,1712,2017_Oct_24_1150,60.1138267546,LDT2,01,,
S,¢,6,1,0.613379751922,L,∆,,,,,,,,0,5,5,5,,,,,None,0,1,780,2017_Oct_24_1150,60.1138267546,LDT2,01,,
S,Q,7,2,0.606199282421,L,≤,,,,,,,,0,6,6,6,,,,,None,0,1,645,2017_Oct_24_1150,60.1138267546,LDT2,01,,
L,H,8,3,0.275217230105,S,X,,,,,,,,0,7,7,7,,,,,None,0,3,1046,2017_Oct_24_1150,60.1138267546,LDT2,01,,
S,L,9,2,0.415498565484,L,:,,,,,,,,0,8,8,8,,,,,None,0,2,776,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,∆,,2,,,J,1,244,1,570,L,0,S,,,,,0,0,0,0,None,0,2,1138,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,F,,2,,,*,2,615,0,58,S,1,L,,,,,0,1,1,1,None,0,2,962,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,±,,2,,,F,3,110,1,681,L,0,S,,,,,0,2,2,2,None,0,2,1253,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,÷,,2,,,Y,4,51,1,571,L,0,S,,,,,0,3,3,3,None,0,2,1215,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,U,,2,,,@,5,454,0,203,S,1,L,,,,,0,4,4,4,None,0,1,1123,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,P,,2,,,$,6,533,0,16,S,1,L,,,,,0,5,5,5,None,0,2,768,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,<,,1,,,≠,7,527,0,601,S,0,S,,,,,0,6,6,6,None,0,1,791,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,N,,3,,,I,8,35,1,248,L,1,L,,,,,0,7,7,7,None,0,2,797,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,K,,2,,,¢,9,542,0,141,S,1,L,,,,,0,8,8,8,None,0,3,649,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,≥,,2,,,W,10,205,1,444,L,0,S,,,,,0,9,9,9,None,0,2,970,2017_Oct_24_1150,60.1138267546,LDT2,01,,
,E,,2,,,+,11,538,0,213,S,1,L,,,,,0,10,10,10,None,0,1,520,2017_Oct_24_1150,60.1138267546,LDT2,01,,
