typeL,right,TrialN,corrAns,rand,TypeR,left,trial_number,item_number,Type_12,Trial_Number_R,Type_L,Type_R2,Type_R,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
S,≠,1,1,0.150263075254,S,≠,,,,,,,,0,0,0,0,,,,,None,0,1,1078,2017_Oct_24_1152,60.1478779118,LDT2,01,,
L,C,2,3,0.71447579568,L,T,,,,,,,,0,1,1,1,,,,,None,0,3,804,2017_Oct_24_1152,60.1478779118,LDT2,01,,
L,∆,3,2,0.30910327398,S,N,,,,,,,,0,2,2,2,,,,,None,0,1,878,2017_Oct_24_1152,60.1478779118,LDT2,01,,
S,<,4,1,0.878485959201,L,€,,,,,,,,0,3,3,3,,,,,None,0,1,1263,2017_Oct_24_1152,60.1478779118,LDT2,01,,
L,A,5,3,0.959810163991,L,X,,,,,,,,0,4,4,4,,,,,None,0,3,1024,2017_Oct_24_1152,60.1478779118,LDT2,01,,
S,¢,6,1,0.613379751922,L,∆,,,,,,,,0,5,5,5,,,,,None,0,1,907,2017_Oct_24_1152,60.1478779118,LDT2,01,,
S,Q,7,2,0.606199282421,L,≤,,,,,,,,0,6,6,6,,,,,None,0,2,1739,2017_Oct_24_1152,60.1478779118,LDT2,01,,
L,H,8,3,0.275217230105,S,X,,,,,,,,0,7,7,7,,,,,None,0,3,622,2017_Oct_24_1152,60.1478779118,LDT2,01,,
S,L,9,2,0.415498565484,L,:,,,,,,,,0,8,8,8,,,,,None,0,2,795,2017_Oct_24_1152,60.1478779118,LDT2,01,,
,∆,,2,,,J,1,244,1,570,L,0,S,,,,,0,0,0,0,None,0,2,1173,2017_Oct_24_1152,60.1478779118,LDT2,01,,
,F,,2,,,*,2,615,0,58,S,1,L,,,,,0,1,1,1,None,0,2,849,2017_Oct_24_1152,60.1478779118,LDT2,01,,
