typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,1,0,0.520098924637,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,1,1,2.31911706924,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,2,1,2.69962906837,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,1,1,1.2022819519,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,1,0,3.33611106873,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,2,1,0.817752838135,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,1,1,4.83496809006,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,1,1,4.75243902206,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,1,0,2.68633794785,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,2,0,1.48604488373,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,2,,hell,4.89,3024,15495,NA,NA,NA,0.846576116443,one word_L,,,,,0,6,6,6,3,0,1.05252099037,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,gang,,2,,****,NA,NA,NA,4659,4910,4.39,0.0655512596332,one word_R,,,,,0,7,7,7,2,1,1.9002161026,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.292727649762,zero words,,,,,0,8,8,8,3,0,1.26941013336,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.356400445984,zero words,,,,,0,9,9,9,2,0,1.45352983475,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,2,,debt,4.79,3253,12466,NA,NA,NA,0.608688519414,one word_L,,,,,0,10,10,10,2,1,1.28595304489,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.586600283621,zero words,,,,,0,11,11,11,2,0,3.08625912666,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,puff,,3,,crab,4.21,5621,3257,7642,1666,3.92,0.58904566739,two words,,,,,0,12,12,12,3,1,2.01876211166,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,dust,,2,,****,NA,NA,NA,4669,4895,4.39,0.17698525123,one word_R,,,,,0,13,13,13,3,0,2.18541502953,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
,fond,,3,,posh,4.29,5112,3947,7135,1926,3.98,0.85396348946,two words,,,,,0,14,14,14,2,0,1.90228319168,NA,NA,2017_Sep_26_0928,60.1507244382,LDT2,01,,
