11.1661 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x114b2c950>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.1662 	EXP 	window1: recordFrameIntervals = False
11.3312 	EXP 	window1: recordFrameIntervals = True
11.5156 	EXP 	window1: recordFrameIntervals = False
11.6111 	EXP 	Created instr1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='instr1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
11.6179 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([-0.625, -0.47 ]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...))
11.6254 	EXP 	Created itemL = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='White', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemL', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
11.6291 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
11.6369 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
11.6376 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
11.6437 	EXP 	Created feedback_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
11.6633 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
11.6659 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([-0.625, -0.47 ]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...))
11.6694 	EXP 	Created itemL = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='White', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemL', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
11.6729 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
11.6749 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
11.6755 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
11.7011 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
11.7171 	EXP 	instr1: autoDraw = True
13.6225 	DATA 	Keypress: 1
13.6280 	EXP 	Imported conditions1.xlsx as conditions, 4 conditions, 6 params
13.6283 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
13.6286 	EXP 	New trial (rep=0, index=0): {u'typeL': u'word', u'right': u'ship', u'TrialN': 1L, u'corrAns': 3L, u'TypeR': u'word', u'left': u'tour'}
13.6482 	EXP 	instr1: autoDraw = False
13.6482 	EXP 	itemL: text = u'tour'
13.6482 	EXP 	itemR: text = u'ship'
13.6482 	EXP 	blank: autoDraw = True
14.1489 	EXP 	fixation: autoDraw = True
14.1489 	EXP 	blank: autoDraw = False
14.6489 	EXP 	itemR: autoDraw = True
14.6489 	EXP 	itemL: autoDraw = True
14.8988 	EXP 	fixation: autoDraw = False
14.8988 	EXP 	itemR: autoDraw = False
14.8988 	EXP 	itemL: autoDraw = False
17.7850 	DATA 	Keypress: 1
18.8171 	EXP 	fixation: autoDraw = False
18.8171 	EXP 	blank: autoDraw = False
18.8171 	EXP 	itemL: autoDraw = False
18.8171 	EXP 	itemR: autoDraw = False
18.8171 	EXP 	feedback_2: text = 'Oops! That was wrong'
18.8171 	EXP 	feedback_2: autoDraw = True
19.7847 	EXP 	New trial (rep=0, index=1): {u'typeL': u'non word', u'right': u'****', u'TrialN': 2L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
19.7999 	EXP 	feedback_2: autoDraw = False
19.7999 	EXP 	feedback_2: autoDraw = False
19.7999 	EXP 	itemL: text = u'****'
19.7999 	EXP 	itemR: text = u'****'
19.7999 	EXP 	blank: autoDraw = True
20.2985 	EXP 	blank: autoDraw = False
20.3153 	EXP 	fixation: autoDraw = True
20.8154 	EXP 	itemR: autoDraw = True
20.8154 	EXP 	itemL: autoDraw = True
21.0488 	EXP 	fixation: autoDraw = False
21.0488 	EXP 	itemR: autoDraw = False
21.0488 	EXP 	itemL: autoDraw = False
23.6841 	DATA 	Keypress: 2
23.8163 	EXP 	fixation: autoDraw = False
23.8163 	EXP 	blank: autoDraw = False
23.8163 	EXP 	itemL: autoDraw = False
23.8163 	EXP 	itemR: autoDraw = False
23.8163 	EXP 	feedback_2: text = 'Oops! That was wrong'
23.8163 	EXP 	feedback_2: autoDraw = True
24.7989 	EXP 	New trial (rep=0, index=2): {u'typeL': u'non word', u'right': u'hart', u'TrialN': 3L, u'corrAns': 2L, u'TypeR': u'word', u'left': u'****'}
24.8148 	EXP 	feedback_2: autoDraw = False
24.8148 	EXP 	feedback_2: autoDraw = False
24.8148 	EXP 	itemL: text = u'****'
24.8148 	EXP 	itemR: text = u'hart'
24.8148 	EXP 	blank: autoDraw = True
25.3144 	EXP 	blank: autoDraw = False
25.3320 	EXP 	fixation: autoDraw = True
25.8318 	EXP 	itemR: autoDraw = True
25.8318 	EXP 	itemL: autoDraw = True
26.0651 	EXP 	fixation: autoDraw = False
26.0651 	EXP 	itemR: autoDraw = False
26.0651 	EXP 	itemL: autoDraw = False
27.5513 	DATA 	Keypress: 3
28.5665 	EXP 	fixation: autoDraw = False
28.5665 	EXP 	blank: autoDraw = False
28.5665 	EXP 	itemL: autoDraw = False
28.5665 	EXP 	itemR: autoDraw = False
28.5665 	EXP 	feedback_2: text = 'Oops! That was wrong'
28.5665 	EXP 	feedback_2: autoDraw = True
29.5512 	EXP 	New trial (rep=0, index=3): {u'typeL': u'non word', u'right': u'****', u'TrialN': 4L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
29.5660 	EXP 	feedback_2: autoDraw = False
29.5660 	EXP 	feedback_2: autoDraw = False
29.5660 	EXP 	itemL: text = u'****'
29.5660 	EXP 	itemR: text = u'****'
29.5660 	EXP 	blank: autoDraw = True
30.0648 	EXP 	blank: autoDraw = False
30.0818 	EXP 	fixation: autoDraw = True
30.5818 	EXP 	itemR: autoDraw = True
30.5818 	EXP 	itemL: autoDraw = True
30.8151 	EXP 	fixation: autoDraw = False
30.8151 	EXP 	itemR: autoDraw = False
30.8151 	EXP 	itemL: autoDraw = False
31.2846 	DATA 	Keypress: 1
32.2833 	EXP 	fixation: autoDraw = False
32.2833 	EXP 	blank: autoDraw = False
32.2833 	EXP 	itemL: autoDraw = False
32.2833 	EXP 	itemR: autoDraw = False
