text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,0,right,blue,0,0,0,3,down,0,1.1361041069,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,1,left,red,0,1,1,0,left,1,0.48627614975,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,0,left,red,0,2,2,5,left,1,0.718473911285,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,0,down,green,0,3,3,1,down,1,0.600808143616,2017_Jun_15_1407,60.3292987263,stroop,01,,
green,1,down,green,0,4,4,2,down,1,0.486171007156,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,1,right,blue,0,5,5,4,right,1,0.335685014725,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,1,right,blue,1,0,6,4,right,1,0.435579061508,2017_Jun_15_1407,60.3292987263,stroop,01,,
green,1,down,green,1,1,7,2,down,1,0.402624845505,2017_Jun_15_1407,60.3292987263,stroop,01,,
green,0,right,blue,1,2,8,3,down,0,0.484110116959,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,0,down,green,1,3,9,1,left,0,0.48571896553,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,0,left,red,1,4,10,5,left,1,1.01880002022,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,1,left,red,1,5,11,0,left,1,0.718897819519,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,1,left,red,2,0,12,0,left,1,0.451333045959,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,0,down,green,2,1,13,1,down,1,0.56879901886,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,1,right,blue,2,2,14,4,right,1,0.401859998703,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,0,left,red,2,3,15,5,left,1,0.6667740345,2017_Jun_15_1407,60.3292987263,stroop,01,,
green,1,down,green,2,4,16,2,down,1,0.502748012543,2017_Jun_15_1407,60.3292987263,stroop,01,,
green,0,right,blue,2,5,17,3,right,1,0.503141880035,2017_Jun_15_1407,60.3292987263,stroop,01,,
blue,1,right,blue,3,0,18,4,right,1,0.552641868591,2017_Jun_15_1407,60.3292987263,stroop,01,,
red,1,left,red,3,1,19,0,left,1,0.386616945267,2017_Jun_15_1407,60.3292987263,stroop,01,,
